date,ex_rate,hs_300,ind_index,energy_index,finance_index,eua_pr,Nz_pr,oil_BL,oil_Cha,coal_IPE,coal_Cha,ngas_NYX,EPU,PCI,GPR,high_temp,low_temp,AQI,days_from_start,day_of_week,day_of_month,week_of_year,month,year,BD_Index,volume,OT
2014-04-28,6.25 ,2134.97 ,2080.09 ,"2,131.11","1,968.16",5.20,3.09,108.12,107.18,76.65,533.20,4.79 ,69.15,0.0422,93.2215,25.00,13 ,87 ,1 ,1 ,28 ,18,4 ,2014 ,253 ,57357.00 ,24.43
2014-04-29,6.26 ,2158.47 ,2104.68 ,"2,152.43","1,985.00",5.41,3,108.98,105.58,76.15,532.40,4.83 ,107.95,0.0422,93.2215,26.00,13 ,100 ,2 ,2 ,29 ,18,4 ,2014 ,248 ,62994.00 ,24.41
2014-04-30,6.26 ,2158.66 ,2121.12 ,"2,151.48","1,980.38",5.40,3.02,108.07,104.85,75.05,530.80,4.80 ,114.32,0.0422,93.2215,27.00,14 ,92 ,5 ,3 ,30 ,18,4 ,2014 ,216 ,83552.00 ,24.38
2014-05-05,6.25 ,2156.47 ,2135.06 ,"2,158.65","1,971.25",5.21,3.05,107.72,102.70,75.15,532.00,4.70 ,159.75,0.0422,83.4289,23.00,13 ,96 ,6 ,1 ,5 ,19,5 ,2014 ,315 ,50770.00 ,24.11
2014-05-06,6.23 ,2157.33 ,2147.21 ,"2,160.77","1,967.65",5.22,3.05,107.06,102.13,75.30,528.80,4.79 ,90.35,0.0422,83.4289,26.00,17 ,99 ,7 ,2 ,6 ,19,5 ,2014 ,255 ,42494.00 ,24.1
2014-05-07,6.23 ,2137.32 ,2113.61 ,"2,131.55","1,958.40",5.12,3.05,108.13,102.04,74.85,525.40,4.79 ,164.60,0.0422,83.4289,28.00,18 ,103 ,8 ,3 ,7 ,19,5 ,2014 ,309 ,43426.00 ,23.85
2014-05-08,6.23 ,2135.50 ,2115.53 ,"2,153.88","1,962.91",5.13,3.11,108.04,102.04,75.15,527.00,4.72 ,129.05,0.0422,83.4289,30.00,18 ,107 ,9 ,4 ,8 ,19,5 ,2014 ,315 ,45483.00 ,23.73
2014-05-09,6.23 ,2133.91 ,2097.43 ,"2,160.83","1,961.21",5.24,3.11,107.89,102.36,75.25,524.20,4.53 ,107.22,0.0422,83.4289,24.00,18 ,69 ,12 ,5 ,9 ,19,5 ,2014 ,263 ,38590.00 ,23.71
2014-05-12,6.24 ,2180.05 ,2146.70 ,"2,266.71","1,996.27",5.30,3.12,108.41,101.59,75.00,528.00,4.40 ,176.33,0.0422,83.4289,28.00,16 ,103 ,13 ,1 ,12 ,20,5 ,2014 ,249 ,35890.00 ,23.57
2014-05-13,6.23 ,2174.85 ,2145.01 ,"2,254.47","1,994.34",5.28,3.16,109.24,102.00,75.10,527.40,4.38 ,124.10,0.0422,83.4289,27.00,18 ,94 ,14 ,2 ,13 ,20,5 ,2014 ,263 ,70038.00 ,23.67
2014-05-14,6.23 ,2172.37 ,2144.28 ,"2,243.58","1,998.17",5.10,3.15,110.19,102.62,75.30,529.80,4.38 ,127.32,0.0422,83.4289,25.00,16 ,77 ,15 ,3 ,14 ,20,5 ,2014 ,278 ,75370.00 ,23.82
